zip,total_education_count,hs_diploma,some_college,associates,bachelors,advanced_degree
65732,552,272,118,39,50,23
65733,612,290,111,17,70,0
65734,2152,898,398,122,135,103
65735,141,81,39,0,10,0
65737,6375,2574,1449,339,915,379
65738,11688,3714,3787,913,1613,912
65739,878,252,211,59,127,35
65740,2430,949,715,185,119,51
65742,7942,2397,2107,472,1503,859
65744,145,61,38,3,22,2
65745,1768,718,254,123,121,13
65746,4770,1959,689,352,365,164
65747,3386,1352,923,154,299,133
65752,259,85,57,37,9,7
65753,3306,1431,702,171,449,118
65754,651,250,182,21,111,75
65755,236,103,72,17,5,8
65756,443,239,87,13,24,0
65757,4802,1873,1173,362,649,347
65759,975,432,173,40,69,37
65760,447,248,74,30,19,0
65761,936,398,177,58,93,64
65762,332,134,108,28,14,15
65764,1043,330,194,35,34,34
65766,86,49,19,5,5,0
65767,1257,562,273,88,50,21
65768,245,144,64,7,0,0
65769,1901,863,330,179,119,88
65770,1749,838,397,135,113,66
65771,1127,277,309,13,381,115
65772,1353,562,259,68,133,30
65773,348,128,40,31,98,13
65774,620,305,140,52,15,30
65775,16896,6297,3920,1183,1470,1386
65777,172,83,44,17,0,0
65778,389,157,104,8,21,21
65779,1730,759,328,144,112,26
65781,5346,1768,1440,474,950,227
65783,139,73,38,9,6,0
65784,0,0,0,0,0,0
65785,3692,1450,873,182,348,254
65786,1785,772,451,64,120,103
65787,1336,469,322,42,259,78
65788,162,89,31,6,10,0
65789,1260,640,236,55,35,12
65790,610,217,129,44,57,35
65791,3048,1273,776,211,186,152
65793,4158,1700,900,227,383,208
65802,27535,8810,6550,1807,4564,1738
65803,27346,9389,6873,2136,3227,1626
65804,26267,5930,7150,1865,5741,3936
65806,5019,1347,1394,305,688,307
65807,34493,9541,9777,2720,6240,3094
65809,8230,1210,1731,385,2469,2191
65810,15173,2632,3745,964,4726,2714
66002,8029,3263,1732,652,977,744
66006,4770,1321,1094,409,1185,509
66007,4203,1191,839,432,945,608
66008,190,84,35,3,50,17
66010,524,238,100,87,16,17
66012,7539,2371,1834,615,1192,692
66013,1510,429,327,139,470,137
66014,242,86,103,53,0,0
66015,639,297,125,101,55,21
66016,168,83,48,8,22,0
66017,244,62,65,28,48,33
66018,3677,865,1076,329,623,391
66019,87,16,71,0,0,0
66020,1162,474,240,67,166,97
66021,1441,415,413,125,239,110
66023,941,416,255,74,79,23
66024,595,348,99,45,14,0
66025,5101,1462,1034,268,1372,617
66026,409,188,54,51,45,44
66027,2885,246,650,160,767,944
66030,13654,3731,4061,1042,2958,1095
66031,381,109,158,20,29,0
66032,3352,1182,832,213,416,245
66033,406,186,105,62,28,18
66035,624,180,201,69,85,51
66039,483,182,92,91,52,10
66040,2388,812,656,272,260,117
66041,547,278,137,28,45,11
66042,442,160,155,24,33,45
66043,7395,2222,1513,646,1403,957
66044,12853,2196,2884,625,3366,2930
66045,16,6,0,0,10,0
66046,11222,2526,2259,703,2589,2173
66047,11561,1808,2354,616,3143,3035
66048,24328,7797,6008,1841,3638,2793
66049,17126,2544,2832,921,5542,4943
66050,1399,435,323,125,211,201
66052,1615,651,379,62,187,94
66053,4991,1278,1342,521,1119,455
66054,2220,939,561,195,282,84
66056,1092,360,258,92,162,33
66058,270,149,59,25,19,9
66060,768,403,173,40,68,25
66061,37310,8273,8190,2747,10163,4969
66062,47350,6901,10840,4327,15790,7579
66064,3832,1555,1271,426,238,90
66066,1800,764,324,119,342,142
66067,10731,3776,2688,926,1607,806
66070,1658,501,413,130,323,145
66071,8433,2701,2430,872,1324,513
66072,767,274,242,55,46,55
66073,1494,536,423,74,264,108
66075,1394,543,397,154,118,77
66076,1231,684,211,67,86,70
66078,629,258,167,57,52,38
66079,394,174,75,60,51,14
66080,565,270,144,59,47,9
66083,6027,1794,1506,737,1185,526
66085,5301,699,904,335,2083,1188
66086,6824,2628,1464,426,990,824
66087,1366,519,384,142,144,48
66088,1902,805,477,166,153,190
66090,1818,662,497,128,239,113
66091,152,71,46,0,19,0
66092,2588,826,840,257,377,133
66093,530,214,105,50,91,13
66094,320,144,94,15,16,14
66095,948,300,193,43,219,74
66097,799,257,261,40,97,57
66101,7499,2337,1408,344,421,262
66102,17293,4935,3203,971,1256,670
66103,8388,2207,1729,581,1198,744
66104,15706,5743,3953,980,1061,544
66105,1651,589,193,148,66,0
66106,14486,5574,3448,984,1265,472
66109,15259,4347,3931,1825,2738,1470
66111,6591,2518,1588,359,746,259
66112,7669,2654,2064,517,1103,394
66115,0,0,0,0,0,0
66118,0,0,0,0,0,0
66202,11389,2098,2819,770,3331,1695
66203,14072,3554,3797,1224,3025,1080
66204,14008,3240,3024,1151,3602,1773
66205,10042,1351,1752,597,3613,2421
66206,7150,451,1081,182,3248,2147
66207,9613,804,1703,365,3631,2924
66208,15694,1356,2545,682,6643,4271
66209,14074,1088,1793,662,5776,4492
66210,13381,1565,2885,993,4886,2755
66211,3535,375,793,231,1206,894
66212,23449,3903,5661,1856,7150,3630
