zip,science_and_eng_field,science_and_eng_related_field,business_field,education_field,arts_humanities_field
05153,53,4,12,27,34
05154,42,15,11,14,103
05155,52,12,49,18,54
05156,403,143,175,227,306
05158,45,0,8,56,53
05161,61,18,34,22,94
05201,799,264,540,373,663
05250,344,117,185,156,299
05251,143,53,62,78,210
05252,16,12,3,2,10
05253,59,24,16,36,74
05254,76,10,24,3,38
05255,394,100,99,138,456
05257,176,26,76,48,161
05260,4,19,0,0,0
05261,95,0,92,84,133
05262,258,56,82,62,183
05301,1535,276,425,672,1729
05340,79,20,47,39,82
05341,38,4,19,41,33
05342,51,2,0,20,24
05343,62,9,5,27,56
05345,193,38,71,95,279
05346,614,92,103,126,710
05350,74,7,14,18,53
05352,49,13,38,31,51
05353,125,25,22,37,45
05354,101,36,88,34,95
05355,32,5,12,31,23
05356,51,12,52,44,79
05358,16,6,7,2,17
05359,72,18,7,30,70
05360,13,1,14,17,15
05361,58,16,20,27,33
05362,17,3,3,8,2
05363,235,10,61,64,182
05401,3935,399,599,543,3006
05403,2811,557,1044,804,1951
05404,783,53,191,182,521
05408,1258,162,234,397,890
05439,5,0,0,2,4
05440,81,23,50,53,73
05441,67,22,24,13,39
05442,20,7,3,12,4
05443,667,148,153,197,419
05444,177,18,28,11,111
05445,788,102,161,107,645
05446,1720,368,544,500,1032
05447,10,0,5,0,0
05448,82,16,6,54,31
05450,243,35,57,150,160
05452,2463,566,1080,927,1565
05454,223,138,210,193,368
05455,61,16,16,26,34
05456,94,15,35,39,46
05457,88,15,10,50,39
05458,188,44,46,84,133
05459,64,12,12,67,51
05461,655,114,207,179,347
05462,322,28,65,26,164
05463,27,2,16,8,19
05464,354,39,102,90,285
05465,1045,192,196,163,498
05468,956,251,519,257,460
05471,69,7,36,18,47
05472,101,10,32,84,117
05473,172,47,59,34,156
05474,108,18,50,34,44
05476,82,32,22,50,66
05477,648,76,165,342,397
05478,712,167,386,527,833
05482,1516,254,568,251,748
05483,26,11,29,23,64
05486,221,36,49,126,129
05487,179,24,42,32,102
05488,234,194,171,217,162
05489,477,142,127,206,257
05491,496,77,183,190,442
05492,63,2,15,23,32
05494,256,45,99,70,126
05495,1460,314,413,595,781
05602,1632,304,341,627,1425
05640,29,4,3,7,24
05641,594,229,555,581,890
05647,85,26,20,42,85
05648,61,4,21,19,74
05649,11,4,34,34,1
05650,150,8,6,32,123
05651,198,29,21,86,135
05652,15,34,49,17,5
05653,28,0,0,21,32
05654,20,10,5,6,5
05655,182,36,55,102,155
05656,93,32,65,60,134
05657,2,0,0,5,0
05658,103,7,22,57,135
05660,321,33,71,68,264
05661,590,118,125,218,350
05663,553,93,137,199,349
05667,215,11,22,57,238
05669,66,6,10,11,41
05672,717,150,351,230,443
05673,500,32,165,154,258
05674,211,57,106,90,248
05675,25,30,11,23,86
05676,627,96,210,157,550
05677,254,72,125,164,218
05679,120,82,65,101,73
05680,152,17,52,77,121
05681,42,6,16,26,34
05682,148,27,52,27,127
05701,1438,384,693,735,1199
05730,49,3,9,12,12
05732,61,45,9,21,5
05733,317,85,136,229,408
05734,91,32,16,20,55
05735,160,50,131,113,179
05736,97,0,48,14,32
05737,103,28,55,41,60
05738,103,37,38,63,101
05739,104,13,16,18,75
05742,54,12,13,9,18
05743,197,64,130,171,132
05744,33,0,0,5,0
05747,15,6,7,2,36
05748,20,5,3,14,26
05751,118,32,107,17,96
05753,1215,117,196,293,1001
05757,55,29,13,31,82
05758,51,23,31,42,39
05759,102,21,36,79,84
05760,68,29,42,33,82
05761,82,20,3,53,96
05762,44,15,31,38,51
05763,198,62,130,125,171
05764,140,14,71,138,179
05765,100,36,33,66,60
05766,91,7,5,15,107
05767,79,14,19,34,137
05769,105,13,20,47,51
05770,120,12,30,16,61
05772,46,27,29,17,44
05773,123,19,99,109,126
05774,94,12,24,17,35
05775,50,0,8,11,60
05776,37,3,24,16,47
05777,159,68,83,118,87
05778,51,4,8,17,35
05819,578,250,225,347,506
05820,44,7,3,37,46
05821,90,25,15,45,122
05822,70,28,29,37,68
05824,59,17,3,18,20
05825,5,0,0,0,22
05826,83,9,19,43,25
05827,40,0,4,17,55
05828,189,23,77,114,139
05829,136,19,35,61,72
05830,75,40,21,91,55
05832,68,9,30,52,62
05833,5,0,0,8,10
05836,109,16,6,29,62
05837,22,5,0,3,10
05839,26,12,23,25,56
05841,87,7,12,9,78
05842,27,4,2,8,30
05843,120,13,57,48,133
05845,56,14,20,24,44
05846,24,12,7,27,26
05847,33,6,2,39,12
05850,0,0,0,0,16
05851,319,70,63,190,222
05853,43,11,12,50,42
05855,361,70,79,205,262
05857,71,22,28,60,42
05858,20,0,2,0,13
05859,67,12,24,54,77
05860,100,47,14,52,43
05862,35,10,19,2,62
05866,27,31,6,16,36
05867,42,6,9,27,36
05868,17,0,7,12,0
05871,59,21,20,50,101
05872,38,12,3,24,11
05873,46,0,10,38,31
05874,51,25,9,17,13
05875,51,20,8,18,25
05901,4,0,0,0,2
05902,0,3,0,0,6
05903,27,12,22,22,46
05904,6,0,3,0,0
05905,25,17,7,28,35
05906,14,13,32,18,53
05907,7,2,2,2,7
06001,3867,642,1794,793,1893
06002,2451,360,1117,707,1086
06010,2943,856,2642,1511,2283
06013,1026,249,588,421,606
06016,383,183,238,133,279
06018,126,22,4,48,92
06019,1160,433,633,308,1041
